osm_id,osm_type,is_in,name,population,admin_level,place,boundary,longitude,latitude,geom_type
17900230,relations,,Cumboto Norte,,"9",,administrative,-68.0345225146232,10.4766093961318,POLYGON
17900231,relations,,Cumboto Sur,,"9",,administrative,-68.0356899165837,10.4714604611476,POLYGON
16501678,relations,,Polvorín,,"9",,administrative,-67.999577467792,10.4628330036531,POLYGON
11126468,relations,,Parroquia Farriar,,"7",,administrative,-68.4984403697586,10.5335485334379,POLYGON
19735273,relations,,Puerto Borburata,,"8",,administrative,-67.9811816180816,10.4859097188123,POLYGON
2689581,relations,,Municipio Puerto Cabello,"182493","6",,administrative,-68.0254869366726,10.4180135788375,MULTIPOLYGON
16412866,relations,,Venepal,,"8",,administrative,-68.2342018339102,10.5448535253935,POLYGON
18904258,relations,,Urbanización Portuario,,"9",,administrative,-68.0688238817119,10.4735557466767,POLYGON
18923708,relations,,El Milagro,,"9",,administrative,-68.0475326324926,10.4712239975132,POLYGON
18924754,relations,,Villa Mar,,"9",,administrative,-68.0886568973566,10.4791261928525,POLYGON
18924755,relations,,Urbanización Morrillo,,"9",,administrative,-68.0898456369762,10.4765245006403,POLYGON
16454402,relations,,El Palito,,"8",,administrative,-68.107934679626,10.4753899899987,POLYGON
17900034,relations,,El Trapiche,,"9",,administrative,-68.204987375363,10.4942258527923,POLYGON
16543235,relations,,Unión,,"9",,administrative,-68.1982546597989,10.493675769373,POLYGON
17915238,relations,,Nuestra Señora de Santa Ana,,"9",,administrative,-68.188349540193,10.4872873021721,POLYGON
19205906,relations,,Palma Sola,,"9",,administrative,-68.180959651439,10.4982826282039,POLYGON
18924760,relations,,El Faro,,"9",,administrative,-68.1023279377094,10.4787029213272,POLYGON
17915237,relations,,Gabriel Guevara,,"9",,administrative,-68.1922271652383,10.4874376161929,POLYGON
16441189,relations,,Mitrano,,"9",,administrative,-68.2038767420799,10.483947629877,POLYGON
17908369,relations,,23 de Enero (Morón),,"9",,administrative,-68.1971557597695,10.4891057292979,POLYGON
18728622,relations,,Los Bagres,,"8",,administrative,-68.1458982096154,9.81407707000304,POLYGON
18321236,relations,,Rincón Hondo,,"8",,administrative,-67.6857155281208,10.1033534023312,POLYGON
16449458,relations,,Santa Rita de Morón,,"9",,administrative,-68.2002193309376,10.4785065794275,POLYGON
11223121,relations,,Urbanizacion La Gaviota,,,neighbourhood,,-67.9628742047654,10.2239987674395,POLYGON
15652311,relations,,Parroquia Uraca,,"7",,administrative,-67.5994527758233,10.4123912361009,POLYGON
15651634,relations,,Parroquia Cata,,"7",,administrative,-67.7233789459882,10.441533790418,POLYGON
18319166,relations,,San Pablo de Urama,,"8",,administrative,-68.3590907784229,10.4930438737329,POLYGON
11023974,relations,,Parroquia Magdaleno,,"7",,administrative,-67.6282985006527,10.1170715621889,POLYGON
18789678,relations,,Rancho Chico,,"9",,administrative,-68.0007729636613,10.4552416882549,POLYGON
18904259,relations,,Urbanización Vivas Lopez,,"9",,administrative,-68.0717077781292,10.4739226194331,POLYGON
18904145,relations,,Urbanización la Victoria,,"9",,administrative,-68.2329148874062,10.4734869273558,POLYGON
18966746,relations,,Guataparo Country Club,,"10",,administrative,-68.0548618120757,10.182270628699,POLYGON
18966751,relations,,Hato Royal,,"10",,administrative,-68.06528462525,10.2142555781721,POLYGON
10832856,relations,,Parroquia Tacarigua,,"7",,administrative,-67.8955534505006,10.0479568721914,POLYGON
10832872,relations,,Parroquia Simón Bolívar,,"7",,administrative,-68.1834142092966,10.2290298769035,POLYGON
9997544,relations,,Municipio Mora,"69236","6",,administrative,-68.2639874992736,10.4530236053836,POLYGON
15612845,relations,,Parroquia La Arenosa,,"7",,administrative,-68.0803366176372,9.95618648592942,POLYGON
11221612,relations,,Sector 3,,,neighbourhood,,-67.9284230989463,10.169830319675,POLYGON
17899869,relations,,Centro de San Diego,,"9",,administrative,-67.9533371746887,10.2584969145294,POLYGON
10832861,relations,,Parroquia Patanemo,,"7",,administrative,-67.9083088860817,10.4252975956986,POLYGON
19205905,relations,,El Mamón,,"9",,administrative,-68.199382201719,10.4957992274443,POLYGON
10831736,relations,,Parroquia Urama,,"7",,administrative,-68.3355728049613,10.4752915807532,POLYGON
16412662,relations,,Alpargatón,,"8",,administrative,-68.2646223679868,10.4679930312846,POLYGON
17899649,relations,,Sanguijuela,,"8",,administrative,-68.2908749640375,10.4642150292143,POLYGON
11023969,relations,,Parroquia Francisco de Miranda,,"7",,administrative,-67.5754017722695,10.2024743366556,POLYGON
17899872,relations,,Monteserino,,"9",,administrative,-67.9638249345483,10.2634260528891,POLYGON
4141770,relations,,Parroquia Catedral,,"7",,administrative,-68.0011878302884,10.1847931872371,POLYGON
11023972,relations,,Parroquia Santa Cruz,,"7",,administrative,-67.5103812339947,10.1606500109497,POLYGON
11023976,relations,,Parroquia San Francisco de Asís,,"7",,administrative,-67.5501885504823,10.0798358342039,POLYGON
10833244,relations,,Municipio Los Guayos,"149606","6",,administrative,-67.9023183121885,10.1454952221484,POLYGON
18140413,relations,,Los Guayos,,"8",,administrative,-67.9178927297516,10.1793548915856,POLYGON
19188204,relations,,Mariscal Sucre,,"9",,administrative,-67.7014159433964,10.292241820086,POLYGON
19220176,relations,,Los Tamarindos,,"10",,administrative,-67.7006224966191,10.2839354624214,POLYGON
19729004,relations,,El Salto,,"8",,administrative,-68.0746629598091,10.3034867702073,POLYGON
19729005,relations,,Las Trincheras,,"8",,administrative,-68.0918048789968,10.305077855656,POLYGON
10832851,relations,,Parroquia Fraternidad,,"7",,administrative,-68.0003767956546,10.4876134092298,MULTIPOLYGON
11023959,relations,,Parroquia María de San José,,"7",,administrative,-67.5839302099905,10.2552765070251,POLYGON
11023965,relations,,Parroquia José Casanova Godoy,,"7",,administrative,-67.5991776941445,10.2250490901541,POLYGON
11023966,relations,,Parroquia Monseñor Feliciano González,,"7",,administrative,-67.588964045873,10.2017948197342,POLYGON
11023957,relations,,Parroquia Los Tacariguas,,"7",,administrative,-67.6392749882658,10.2468817215904,POLYGON
15652450,relations,,Parroquia Taguaiguay,,"7",,administrative,-67.4786200072414,10.0980380276264,POLYGON
17899871,relations,,Bosqueserino,,"9",,administrative,-67.9642988431256,10.2600119170552,POLYGON
17899874,relations,,San Antonio,,"9",,administrative,-67.9663317838562,10.2705252726643,POLYGON
9998351,relations,,Municipio Ocumare,"12816","6",,administrative,-67.7566811374846,10.4219600681765,POLYGON
10833249,relations,,Municipio Carlos Arvelo,"150277","6",,administrative,-67.7422543995962,10.0153245594076,POLYGON
10832857,relations,,Parroquia Güigüe,,"7",,administrative,-67.7543744922321,10.0972261864018,POLYGON
10832864,relations,,Parroquia Belén,,"7",,administrative,-67.6722389457403,9.9381717587805,POLYGON
10833246,relations,,Municipio Guacara,"176218","6",,administrative,-67.875268547787,10.2579199425763,POLYGON
15612616,relations,,Parroquia Vigirima,,"7",,administrative,-67.879763136677,10.3367615632611,POLYGON
18319194,relations,,Valle Verde I,,"9",,administrative,-68.2085004183405,10.4909345394544,POLYGON
11043135,relations,,Municipio Lima Blanco,"9454","6",,administrative,-68.419516275632,9.8188002610728,POLYGON
11023980,relations,,Parroquia Villa de Cura,,"7",,administrative,-67.4757084736003,10.0104614169947,POLYGON
